cluster,rank,gene,log2fc,score,pvals_adj
0,1,CD8A,4.799563407897949,41.273170471191406,0.0
0,2,NKG7,4.321926593780518,37.82742691040039,0.0
0,3,KLRK1,4.124749660491943,36.82039260864258,6.877993007711835e-293
0,4,CCL5,1.2510161399841309,35.70677185058594,1.8380345524707014e-275
0,5,CST7,3.6003239154815674,34.488807678222656,5.593142665245243e-257
0,6,CD8B,4.550692081451416,34.209999084472656,6.779313532105923e-253
0,7,LYST,2.121694326400757,32.74483108520508,1.2171693339972966e-231
0,8,PRF1,3.742969512939453,32.574310302734375,2.8073876151600443e-229
0,9,CCL4,3.7028255462646484,31.091876983642578,8.163305943907212e-209
0,10,CBLB,2.253101110458374,30.997650146484375,1.3735338740265297e-207
0,11,CCL4L2,3.8255820274353027,30.69602394104004,1.2696068445042981e-203
0,12,CCL4L1,3.8255820274353027,30.69602394104004,1.2696068445042981e-203
0,13,CD2,2.723479747772217,30.64451026916504,5.699066290154113e-203
0,14,HAVCR2,2.2580277919769287,30.64017105102539,6.045113302883918e-203
0,15,TIGIT,3.3408491611480713,30.476755142211914,8.366004074330363e-201
0,16,TOX,3.3545243740081787,30.34757423400879,4.0044329279148074e-199
0,17,PDCD1,3.867389440536499,30.29799461364746,1.6975567206257345e-198
0,18,GZMK,3.7169013023376465,30.27102279663086,3.5974477776015764e-198
0,19,TNFRSF9,1.9493683576583862,30.269554138183594,3.5974477776015764e-198
0,20,CD27,2.903301477432251,29.165313720703125,6.328119345248052e-184
0,21,ITM2A,2.7976419925689697,29.074888229370117,8.414310891991124e-183
0,22,PRKCH,2.53497052192688,29.05533218383789,1.4188631761135913e-182
0,23,IL32,2.4723894596099854,28.49494743347168,1.3936283451601346e-175
0,24,GZMA,3.4873528480529785,28.09349822998047,1.160953675271967e-170
0,25,CD3D,2.5622754096984863,27.48216438293457,2.7181155241339227e-163
0,26,CD3E,2.3500003814697266,27.441146850585938,8.073529930566418e-163
0,27,SRGN,1.9155076742172241,26.843036651611328,8.923534047669473e-156
0,28,SIRPG,3.121019124984741,26.640653610229492,1.9430207823098498e-153
0,29,IL2RB,2.7447550296783447,26.573102951049805,1.134755845724839e-152
0,30,CTSW,3.450673818588257,25.94696044921875,1.5538062671057211e-145
0,31,CD3G,1.7882969379425049,25.89546012878418,5.725037778902472e-145
0,32,CD7,2.6091039180755615,25.596773147583008,1.2267577935492027e-141
0,33,SLA,2.2569854259490967,25.574703216552734,2.0941099649943015e-141
0,34,LAG3,4.0712890625,25.431364059448242,7.907988078263226e-140
0,35,IKZF3,1.104367733001709,25.258127212524414,6.241078743395652e-138
0,36,GBP5,2.077242612838745,25.15437889099121,8.328101714330184e-137
0,37,RGS1,1.8673120737075806,25.04205322265625,1.3643860576543182e-135
0,38,DTHD1,3.6559231281280518,24.737924575805664,2.6069675775046376e-132
0,39,FCRL3,3.017871856689453,24.4029541015625,9.664227227578655e-129
0,40,TTN,2.0006349086761475,24.380403518676758,1.6347344275393416e-128
0,41,TNFRSF1B,2.0187625885009766,24.300065994262695,1.130805109735643e-127
0,42,PYHIN1,2.5906248092651367,24.289583206176758,1.424702491931923e-127
0,43,HLA-H,0.7033637166023254,23.938716888427734,6.6726569249198285e-124
0,44,CLEC2D,1.567691445350647,23.82366371154785,1.0225040488874108e-122
0,45,CD84,1.2551357746124268,23.773406982421875,3.313245132872599e-122
0,46,CXCL13,4.967365741729736,23.64236068725586,7.284241567218347e-121
0,47,IL2RG,1.9227826595306396,23.534923553466797,9.029136030939041e-120
0,48,ID2,2.023602247238159,23.192180633544922,2.6948715457820756e-116
0,49,DENND2D,2.0443036556243896,23.079233169555664,3.6187531481906855e-115
0,50,DUSP2,2.2431094646453857,23.068099975585938,4.587348897860362e-115
1,1,IL7R,3.8959357738494873,32.10319519042969,9.42455337018227e-222
1,2,RPS3,0.5384564399719238,26.732086181640625,2.362883314040002e-153
1,3,RPS12,0.5805582404136658,26.705978393554688,3.1675662998723443e-153
1,4,RPL13,0.577893078327179,26.48668670654297,8.17182666156912e-151
1,5,TPT1,0.5180515646934509,26.47418212890625,9.10780767975217e-151
1,6,RPS3A,0.5213389992713928,26.278390884399414,1.337387353965012e-148
1,7,RPL3,0.48864856362342834,26.03965187072754,5.963621178018863e-146
1,8,RPS6,0.5562065243721008,25.93453025817871,8.047856875468372e-145
1,9,EEF1A1,0.4624551236629486,25.91058921813965,1.331813534259264e-144
1,10,RPL10,0.5203773379325867,25.72243309020996,1.4317391669478363e-142
1,11,TCF7,2.694053888320923,25.721914291381836,1.4317391669478363e-142
1,12,RPL30,0.5373190641403198,25.6372127532959,1.1591172572953799e-141
1,13,RPS27A,0.5355984568595886,25.558073043823242,8.137574067904714e-141
1,14,RPL9,0.5114961266517639,25.468456268310547,7.4613430474460845e-140
1,15,RPL32,0.5854885578155518,25.462486267089844,8.109095493407864e-140
1,16,RPLP2,0.5247604250907898,25.41206169128418,2.7469805100444984e-139
1,17,RPL11,0.5221362113952637,25.369491577148438,7.632697246271876e-139
1,18,RPS4X,0.5094683170318604,25.230785369873047,2.4226928652505357e-137
1,19,RPL5,0.5008998513221741,25.089061737060547,8.162731974271072e-136
1,20,RPL4,0.5035001039505005,24.886688232421875,1.228129790074342e-133
1,21,RPS20,0.5460546016693115,24.812841415405273,7.35015792587169e-133
1,22,RPL34,0.5936185121536255,24.7415714263916,4.113818848276681e-132
1,23,RPL28,0.6272492408752441,24.73077964782715,5.141180310565978e-132
1,24,RPS14,0.478487491607666,24.706275939941406,9.038095592612113e-132
1,25,RPS29,0.6280514001846313,24.667051315307617,2.2886065605696704e-131
1,26,RPS25,0.5241073369979858,24.664804458618164,2.3261649364954863e-131
1,27,RPL19,0.4477790296077728,24.53814697265625,5.07846363587835e-130
1,28,RPS16,0.5508562922477722,24.317535400390625,1.0821465281852252e-127
1,29,RPS28,0.5329005718231201,24.24565315246582,6.002806155334564e-127
1,30,PABPC1,0.5782918334007263,24.177242279052734,3.0492115788764226e-126
1,31,RPS27,0.48949432373046875,24.164989471435547,3.969974913703268e-126
1,32,RPL41,0.44846582412719727,24.139854431152344,7.064546274905393e-126
1,33,RPL18A,0.5106059908866882,24.12518310546875,9.766820577441231e-126
1,34,RPL27A,0.5855149030685425,24.092180252075195,2.1034815055321148e-125
1,35,RPL17,0.4775821566581726,23.944581985473633,7.122132148954403e-124
1,36,RPL39,0.5405697822570801,23.890026092529297,2.558841831131468e-123
1,37,RPS8,0.4719356894493103,23.715864181518555,1.583794679159466e-121
1,38,RPL7,0.46853354573249817,23.646055221557617,8.078740373058018e-121
1,39,RPL23A,0.44819456338882446,23.509674072265625,1.9557612875637706e-119
1,40,RPS13,0.4948417544364929,23.50896644592285,1.9557612875637706e-119
1,41,RPS15A,0.494399756193161,23.479135513305664,3.8504645841545434e-119
1,42,RPS23,0.5818605422973633,23.43893814086914,9.667950720782326e-119
1,43,RPS18,0.45492029190063477,23.432748794555664,1.0920019143391909e-118
1,44,LOC643406,0.6063959002494812,23.382104873657227,3.499555092473606e-118
1,45,RPL35A,0.5431883335113525,23.313880920410156,1.6876636039680847e-117
1,46,RPL31,0.4482099115848541,23.311620712280273,1.7405430263772152e-117
1,47,RPS19,0.5352902412414551,23.306137084960938,1.9361693699100855e-117
1,48,EEF1G,0.520995020866394,23.15775489807129,5.993463044648753e-116
1,49,UGDH-AS1,0.4987320303916931,23.134929656982422,9.96758138496308e-116
1,50,TMEM66,0.8594706654548645,23.10214614868164,2.0873116058168104e-115
2,1,MS4A1,6.071875095367432,37.264915466308594,1.4393779733945119e-299
2,2,HLA-DRA,3.588012218475342,35.866432189941406,1.207826846404942e-277
2,3,CD79A,5.792472839355469,35.505821228027344,3.1563487623089476e-272
2,4,CD74,1.9627735614776611,34.45635223388672,2.1420940094025974e-256
2,5,HLA-DPA1,2.8526742458343506,33.81642532348633,5.359715496828985e-247
2,6,BANK1,6.336790084838867,33.59809112548828,7.06252379820612e-244
2,7,IRF8,4.45725679397583,32.65666580200195,2.1807719167733616e-230
2,8,HLA-DRB1,2.8531060218811035,32.61208724975586,8.185414376717613e-230
2,9,BCL11A,5.719906806945801,32.59038162231445,1.4774512658326544e-229
2,10,HLA-DPB1,2.7457852363586426,32.426414489746094,2.759750465427598e-227
2,11,HLA-DQB1,3.575042724609375,31.812097549438477,9.483969380334011e-219
2,12,CD37,2.563567638397217,31.683361053466797,5.199429291543549e-217
2,13,HLA-DRB5,2.8758649826049805,30.50581932067871,3.8491740818918586e-201
2,14,HLA-DQA1,3.516728639602661,30.50444984436035,3.8491740818918586e-201
2,15,CD79B,4.570803165435791,30.400428771972656,8.562197140122185e-200
2,16,CD19,6.315990924835205,29.1995906829834,2.9056937739339565e-184
2,17,HLA-DRB6,2.781324625015259,28.30535125732422,4.137998181192904e-173
2,18,CD22,5.68887996673584,27.88348960876465,5.568275693012404e-168
2,19,NCF1,4.2834038734436035,27.82408332824707,2.7655798835030376e-167
2,20,FGD2,3.827666759490967,27.313533782958984,3.4699823779900655e-161
2,21,"non-malignant cell type (1=T,2=B,3=Macro.4=Endo.,5=CAF;6=NK)",1.5999330282211304,27.058969497680664,3.379062761177759e-158
2,22,CIITA,3.3023855686187744,26.801023483276367,3.3849904429959335e-155
2,23,FCRL1,4.702642917633057,26.380041122436523,2.3915248397345405e-150
2,24,ADAM28,4.365293025970459,26.045461654663086,1.4947933517266567e-146
2,25,NAPSB,5.323644638061523,25.808055877685547,6.822848459431513e-144
2,26,NCF1C,4.532741069793701,25.7238826751709,5.75763600093538e-143
2,27,HLA-DMB,3.703216552734375,25.134401321411133,1.836403338160476e-136
2,28,IGLL5,4.737495422363281,24.83540916442871,3.145313346902553e-133
2,29,TCF4,3.7466180324554443,24.764541625976562,1.7658233703568915e-132
2,30,HLA-DQA2,3.290473461151123,24.72028350830078,5.111891794548871e-132
2,31,LOC283663,2.5552337169647217,24.464027404785156,2.7272006902593964e-129
2,32,PAX5,5.935283660888672,24.351673126220703,4.1200472547769723e-128
2,33,LAPTM5,1.6974977254867554,24.260517120361328,3.676156300768185e-127
2,34,ORAI2,0.8438522219657898,23.929641723632812,1.0190451101875186e-123
2,35,MEF2C,3.3627517223358154,23.86113929748535,5.1060285297794104e-123
2,36,WDFY4,4.971529960632324,23.61267852783203,1.828341124259838e-120
2,37,HLA-DQB2,3.469689130783081,23.571142196655273,4.751373849696282e-120
2,38,FAIM3,1.9247937202453613,23.24168586730957,1.0486820586829957e-116
2,39,CD83,3.4705045223236084,23.113100051879883,2.0246575487726974e-115
2,40,HLA-DMA,2.618893623352051,23.06671142578125,5.7766648993033925e-115
2,41,SYK,3.3090083599090576,23.02918243408203,1.3414694285077435e-114
2,42,HVCN1,4.362015247344971,23.004701614379883,2.3041999450530404e-114
2,43,AFF3,2.2193222045898438,22.708921432495117,1.9689044697968742e-111
2,44,CD52,1.9166903495788574,22.566085815429688,4.9142645548585156e-110
2,45,BLK,5.628967761993408,22.497957229614258,2.2382335924067084e-109
2,46,POU2F2,3.446549415588379,22.403268814086914,1.8433903162713605e-108
2,47,RPS8,0.4928578734397888,22.39951515197754,1.963627056266926e-108
2,48,POU2AF1,2.1521174907684326,22.360023498535156,4.663386779594829e-108
2,49,ADAM19,2.7374892234802246,22.30271339416504,1.6476018241321055e-107
2,50,RPS5,0.6445443630218506,22.239757537841797,6.582744842087606e-107
3,1,MIA,4.42390775680542,34.9307861328125,6.006009834952803e-263
3,2,SERPINE2,3.7447612285614014,34.55955505371094,1.2131965746040603e-257
3,3,APOD,3.992380380630493,34.28856658935547,9.174886656680978e-254
3,4,MFGE8,3.735368251800537,34.16728591918945,4.38565111090089e-252
3,5,A2M,3.6684513092041016,34.140811920166016,8.671706376508728e-252
3,6,NSG1,4.386647701263428,34.04762649536133,1.7374851166468347e-250
3,7,TYR,3.954332113265991,33.71685028076172,1.1079389669317664e-245
3,8,APOC2,5.996944427490234,33.710113525390625,1.2168817241011175e-245
3,9,CDH19,4.145791530609131,33.066871643066406,2.3429688792072103e-236
3,10,SLC26A2,3.1054911613464355,32.66548156738281,1.1443445819771783e-230
3,11,S100B,3.525437355041504,32.617794036865234,4.940953035015656e-230
3,12,CSPG4,3.8713676929473877,32.573707580566406,1.9087196624949946e-229
3,13,CAPN3,3.6633613109588623,32.19284439086914,4.0499514608266906e-224
3,14,APOE,3.890136957168579,32.18318176269531,5.134451228920323e-224
3,15,PRAME,3.6195900440216064,32.03107452392578,6.361612229339146e-222
3,16,SERPINA3,4.950829982757568,31.983016967773438,2.781045478278428e-221
3,17,XAGE1A,4.897435665130615,31.971588134765625,3.7734629452953317e-221
3,18,GSN,3.1664719581604004,31.965946197509766,4.2691896887392977e-221
3,19,XAGE1D,4.902661323547363,31.929210662841797,1.2823069694166252e-220
3,20,XAGE1B,4.9001264572143555,31.928258895874023,1.2823069694166252e-220
3,21,XAGE1E,4.903079986572266,31.92384910583496,1.4060268379687818e-220
3,22,XAGE1C,4.896332740783691,31.917287826538086,1.655109312292629e-220
3,23,S100A13,3.457509756088257,31.86455726623535,8.522383097134946e-220
3,24,TIMP2,3.435000419616699,31.815460205078125,3.9054102697503265e-219
3,25,IFI27,3.98555326461792,31.668291091918945,4.024668944294337e-217
3,26,CD59,2.714148759841919,31.19173812866211,1.2564331224886868e-210
3,27,SGK1,3.1218364238739014,31.01093864440918,3.3680082224734363e-208
3,28,LOC100126784,4.252561092376709,30.61801528930664,5.962383640607884e-203
3,29,ITGA3,4.578860759735107,30.4388370513916,1.3750900949359264e-200
3,30,VAT1,2.8416080474853516,30.43125343322754,1.6747530773399626e-200
3,31,TMEM255A,5.458403587341309,30.134233474731445,1.3190453390475114e-196
3,32,LGALS3,2.7712278366088867,30.115680694580078,2.235968586297282e-196
3,33,ATP1A1,2.3402388095855713,30.008102416992188,5.5227535817432775e-195
3,34,TMEM98,3.9513845443725586,29.97441864013672,1.4737194279242674e-194
3,35,PMEL,3.3347301483154297,29.933998107910156,4.811105731769167e-194
3,36,TM4SF1,4.280479431152344,29.875022888183594,2.733872273698553e-193
3,37,CTSB,1.2251123189926147,29.863948822021484,3.704324079793393e-193
3,38,DAAM2,4.226792812347412,29.8630313873291,3.7070991801531857e-193
3,39,TIMP1,2.963099479675293,29.678508758544922,8.834414714480901e-191
3,40,MT2A,2.5290777683258057,29.645618438720703,2.28750079353026e-190
3,41,NAV2,3.373534679412842,29.618284225463867,5.021286590435698e-190
3,42,PYGB,3.0561442375183105,29.578550338745117,1.591031510271083e-189
3,43,TIMP3,3.202474594116211,29.447181701660156,7.536517774883835e-188
3,44,GPNMB,3.193939208984375,29.41444969177246,1.9321234835628493e-187
3,45,SDC3,3.3666563034057617,29.25068473815918,2.2182270432041022e-185
3,46,LGALS3BP,2.9020934104919434,29.217811584472656,5.684775391376903e-185
3,47,EMP1,3.654914379119873,28.902097702026367,5.323349675497406e-181
3,48,MYO1D,3.9911420345306396,28.758861541748047,3.259840548583051e-179
3,49,MCAM,2.89788818359375,28.51296615600586,3.685772020230302e-176
3,50,CTSL1,3.151552200317383,28.492826461791992,6.424916290082259e-176
4,1,CCL5,1.166048288345337,24.544832229614258,1.1633404936945748e-128
4,2,NKG7,3.1803183555603027,22.535144805908203,2.2246999012810785e-108
4,3,GZMA,3.1981911659240723,21.252613067626953,2.4621956448295444e-96
4,4,CST7,2.5939064025878906,19.248554229736328,8.596534667273627e-79
4,5,KLRK1,2.7295327186584473,18.727331161499023,1.4043314763090179e-74
4,6,KLRD1,1.060142159461975,18.620267868041992,8.690446769531353e-74
4,7,CCL4,2.762798309326172,18.130046844482422,6.24728356631756e-70
4,8,PRF1,2.5953221321105957,17.69509506225586,1.3546105648135057e-66
4,9,CTSW,2.8845605850219727,17.636737823486328,3.3869332263435377e-66
4,10,AOAH,3.0386054515838623,17.480249404907227,4.799704054412381e-65
4,11,CD96,1.6844890117645264,16.75910758972168,1.0463162536083178e-59
4,12,ITGAL,1.6130590438842773,16.61937141418457,9.96086941140699e-59
4,13,SPN,0.8786348104476929,16.61149024963379,1.0486106474909317e-58
4,14,CORO1A,1.5128443241119385,16.036937713623047,1.1937096503234179e-54
4,15,SLAMF7,1.64202880859375,15.871052742004395,1.5877869475174333e-53
4,16,PTPRC,1.3790948390960693,15.860978126525879,1.7476808345879272e-53
4,17,LCP1,1.4702503681182861,15.70039176940918,2.094526545514053e-52
4,18,RNF213,0.857525110244751,15.572770118713379,1.4670503231245958e-51
4,19,IL32,1.7125242948532104,15.182992935180664,5.7150609525719125e-49
4,20,HLA-C,0.504885733127594,15.097225189208984,2.0004455245881852e-48
4,21,GZMK,2.381913900375366,14.938036918640137,2.0411263935329022e-47
4,22,SAMD3,3.3167366981506348,14.936911582946777,2.0411263935329022e-47
4,23,IRF1,0.7354892492294312,14.915905952453613,2.675067761592249e-47
4,24,IFITM1,1.2756747007369995,14.835341453552246,8.544022763075062e-47
4,25,AKNA,1.3466107845306396,14.67064094543457,9.418958358527187e-46
4,26,CCL4L2,2.1996889114379883,14.599665641784668,2.4761539227759796e-45
4,27,CCL4L1,2.1996889114379883,14.599665641784668,2.4761539227759796e-45
4,28,IKZF3,0.8934111595153809,14.492932319641113,1.1361003585306269e-44
4,29,GZMH,3.4545845985412598,14.399011611938477,4.2876087175073385e-44
4,30,TMSB4X,1.0342296361923218,14.11464786529541,2.4364465430324976e-42
4,31,ACTB,0.3458896577358246,14.07729721069336,3.8772391909189444e-42
4,32,PARP8,1.7901026010513306,14.022706985473633,8.12694848809946e-42
4,33,HLA-B,0.47715580463409424,13.992888450622559,1.2002718700568593e-41
4,34,CD2,1.6961286067962646,13.925020217895508,3.021477088284455e-41
4,35,MYL12A,0.6117464303970337,13.8698091506958,6.352179981789652e-41
4,36,PFN1,0.4428624212741852,13.840009689331055,9.359512798177613e-41
4,37,L2HGDH,0.5585883855819702,13.81265640258789,1.3328129307034747e-40
4,38,SRGN,1.403993844985962,13.77876091003418,2.042362564615419e-40
4,39,RNF125,0.7510992884635925,13.778179168701172,2.042362564615419e-40
4,40,ITGB2,1.5170748233795166,13.751039505004883,2.9006416805744728e-40
4,41,PDDC1,0.5199356079101562,13.715590476989746,4.619162372801932e-40
4,42,ARHGDIB,1.2680813074111938,13.702370643615723,5.413386776821173e-40
4,43,HLA-E,0.49822232127189636,13.619515419006348,1.650675302733653e-39
4,44,CYP20A1,0.5477548241615295,13.445204734802246,1.6916893294415024e-38
4,45,CALM1,0.5110656023025513,13.431809425354004,1.9842029918943458e-38
4,46,HLA-A,0.3987073600292206,13.420899391174316,2.2511740359612076e-38
4,47,ZNF793,0.6241727471351624,13.409600257873535,2.5682823492499243e-38
4,48,B2M,0.4070279002189636,13.407232284545898,2.598581996081516e-38
4,49,GK5,0.7611698508262634,13.374229431152344,3.973021769685335e-38
4,50,ATCAY,0.67715984582901,13.337247848510742,6.403024741197604e-38
5,1,FXYD3,3.4631729125976562,23.149137496948242,3.513383109335249e-114
5,2,SPARC,2.6263809204101562,21.36737823486328,4.898341829731387e-98
5,3,CNN3,2.6516058444976807,21.199710845947266,1.5174628616966734e-96
5,4,GPNMB,2.740325450897217,20.967039108276367,1.7263824642413756e-94
5,5,PIR,3.164367914199829,20.89874839782715,6.853303798045833e-94
5,6,DCBLD2,2.985736846923828,20.734909057617188,1.8925585849342077e-92
5,7,SNCA,2.5951061248779297,20.436569213867188,6.462155946201145e-90
5,8,PLP1,2.7500064373016357,20.42570686340332,7.551267740595376e-90
5,9,CTTN,2.387871265411377,20.406604766845703,1.0814367831295324e-89
5,10,EDNRB,2.763693332672119,20.4040470123291,1.1050249068240476e-89
5,11,DST,2.337024688720703,20.201879501342773,5.724359413787617e-88
5,12,LZTS1,2.5507009029388428,20.1987361907959,5.947887403587671e-88
5,13,LGALS3BP,2.493241310119629,20.18046760559082,8.398811629212838e-88
5,14,LMNA,2.2756850719451904,19.778215408325195,2.263508470450099e-84
5,15,MYO10,1.9137035608291626,19.710464477539062,8.30768844221645e-84
5,16,TFAP2A,2.5823633670806885,19.58963394165039,8.471955086515725e-83
5,17,GPM6B,2.6569197177886963,19.552492141723633,1.7233565495218768e-82
5,18,CHCHD6,2.6744189262390137,19.540800094604492,2.127816707260137e-82
5,19,PAX3,2.8169496059417725,19.419761657714844,2.145642261704944e-81
5,20,TYR,2.8415448665618896,19.398557662963867,3.18662881476828e-81
5,21,ST3GAL4,2.5915613174438477,19.242000579833984,6.097104291623335e-80
5,22,HMCN1,2.7607805728912354,19.149906158447266,3.4282031899818815e-79
5,23,MITF,2.538815498352051,19.133968353271484,4.52016013683821e-79
5,24,ERBB3,2.139953851699829,19.12710189819336,5.082869573408668e-79
5,25,ETV5,2.3138411045074463,19.116884231567383,6.09570047093551e-79
5,26,S100B,2.6756927967071533,19.032800674438477,2.9208696126601373e-78
5,27,GNG12,2.400813102722168,18.999799728393555,5.336098693212056e-78
5,28,PHGDH,3.5213027000427246,18.840206146240234,1.0340981086027782e-76
5,29,SERPINE2,2.6035053730010986,18.716026306152344,1.0335718796950146e-75
5,30,TIMP2,2.198930263519287,18.683502197265625,1.8796320566955958e-75
5,31,AP1S2,2.0937206745147705,18.604164123535156,7.913073021843101e-75
5,32,CLIC4,2.305936098098755,18.583396911621094,1.152562128865288e-74
5,33,SLC6A15,2.9661784172058105,18.565420150756836,1.593331541325371e-74
5,34,HPGD,3.659348487854004,18.329586029052734,1.1616091330891658e-72
5,35,MLANA,1.4399898052215576,18.30559539794922,1.7689160453276427e-72
5,36,CALU,1.8613375425338745,18.293733596801758,2.1559883998030956e-72
5,37,PCDH7,3.11354923248291,18.24161148071289,5.391310164373068e-72
5,38,ANKRD28,2.440422296524048,18.122882843017578,4.612418980849893e-71
5,39,STXBP1,2.417076587677002,18.106569290161133,6.090971442416401e-71
5,40,NME1,2.256286382675171,18.099328994750977,6.8842757161268575e-71
5,41,SORT1,2.230065107345581,18.034908294677734,2.1732721723573812e-70
5,42,PYCR1,2.847567319869995,18.03174591064453,2.2810429616133826e-70
5,43,AEBP1,2.267253875732422,18.002323150634766,3.8482547734789483e-70
5,44,LSAMP,2.7126705646514893,17.983179092407227,5.343449154043761e-70
5,45,ATP6V1B2,2.0878989696502686,17.958377838134766,8.285082696110765e-70
5,46,SOX10,2.2610645294189453,17.888671875,2.8292212308447957e-69
5,47,CD59,1.9679838418960571,17.859416961669922,4.741306872202284e-69
5,48,MLPH,2.3541975021362305,17.84842872619629,5.725398232843399e-69
5,49,PRDX4,2.248838424682617,17.824750900268555,8.675377015113613e-69
5,50,LTBR,2.3388516902923584,17.778953552246094,1.9342948489340467e-68
6,1,CD4,3.3238766193389893,20.07264518737793,3.0323951042113655e-85
6,2,SPOCK2,2.4427759647369385,18.628019332885742,2.255673923719901e-73
6,3,IL32,2.076275587081909,17.421382904052734,4.484195700761521e-64
6,4,CD3D,2.2860381603240967,17.262100219726562,5.374474834881136e-63
6,5,FYB,1.6370015144348145,16.727386474609375,3.9225445027486255e-59
6,6,CD28,2.3619141578674316,16.68454933166504,6.703370432483818e-59
6,7,CD2,2.161116600036621,16.655906677246094,9.278003167388858e-59
6,8,MAF,2.53242564201355,16.503087997436523,1.032238923276042e-57
6,9,TIGIT,2.391948938369751,15.733884811401367,2.3321724216200743e-52
6,10,CTLA4,2.726248264312744,15.693089485168457,3.9950011685415755e-52
6,11,CD3E,1.9063652753829956,15.39990234375,3.5300443155487507e-50
6,12,ICOS,2.9332547187805176,15.139358520507812,1.7584801406468427e-48
6,13,ITM2A,2.070019483566284,15.06905746459961,4.715536696615899e-48
6,14,SRGN,1.575989842414856,14.657402992248535,2.0441282607377734e-45
6,15,ITGAL,1.5429439544677734,14.59396743774414,4.8455424512434486e-45
6,16,BATF,2.7026939392089844,14.468486785888672,2.837361321119922e-44
6,17,LAT,2.197829484939575,14.316722869873047,2.397419742878779e-43
6,18,JAK3,1.1153301000595093,13.944684028625488,4.4607401113392593e-41
6,19,CD3G,1.4222922325134277,13.849846839904785,1.5894542094336992e-40
